发震时刻,经度,纬度,深度（千米）,参考位置,震级
2023/9/18 21:21,125.35 ,26.45 ,170,东海海域,6.4
2023/9/5 17:30,120.42 ,23.51 ,20,台湾嘉义县,4.9
2023/8/6 2:33,116.34 ,37.16 ,10,山东德州市平原县,5.5
2023/7/9 5:22,121.50 ,22.10 ,10,台湾屏东县海域,4.7
2023/7/9 3:47,121.49 ,22.03 ,10,台湾屏东县海域,5.4
2023/6/24 3:07,109.07 ,20.72 ,20,北部湾,5
2023/6/10 13:31,120.65 ,22.88 ,14,台湾高雄市,4.7
2023/5/4 10:15,105.12 ,28.14 ,10,四川宜宾市兴文县,4.9
2023/5/2 23:27,99.28 ,25.35 ,10,云南保山市隆阳区,5.2
2023/4/3 3:32,115.80 ,6.50 ,600,南海海域,6.1
2023/3/21 9:45,121.50 ,23.51 ,10,台湾花莲县,4.9
2023/3/17 18:39,96.25 ,30.78 ,10,西藏昌都市洛隆县,4.8
2023/2/28 22:46,102.01 ,29.63 ,8,四川甘孜州泸定县,4.8
2023/2/27 7:58,79.85 ,41.87 ,10,新疆阿克苏地区温宿县,5.1
2023/2/8 18:49,121.65 ,23.35 ,30,台湾花莲县海域,4.7
2023/2/3 20:04,96.94 ,37.02 ,10,青海海西州德令哈市,4.9
2023/1/31 1:07,79.86 ,35.85 ,10,新疆和田地区和田县,4.8
2023/1/30 7:49,82.29 ,40.01 ,50,新疆阿克苏地区沙雅县,6.1
2023/1/26 3:49,102.01 ,29.63 ,11,四川甘孜州泸定县,5.6
2023/1/26 0:02,79.89 ,35.83 ,10,新疆和田地区和田县,4.9
2022/12/24 5:17,121.36 ,23.08 ,11,台湾台东县海域,4.7
2022/12/22 10:47,99.14 ,35.56 ,9,青海果洛州玛多县,5
2022/12/15 12:03,121.79 ,23.73 ,10,台湾花莲县海域,5.9
2022/12/13 22:25,129.60 ,27.45 ,10,琉球群岛,5.7
2022/12/13 8:04,89.38 ,43.54 ,15,新疆昌吉州奇台县,4.7
2022/12/8 0:54,121.71 ,23.77 ,30,台湾花莲县海域,5.1
2022/12/3 14:24,85.31 ,34.27 ,10,西藏阿里地区改则县,4.7
2022/11/28 3:58,74.32 ,39.72 ,13,新疆克孜勒苏州乌恰县,4.7
2022/11/27 1:38,121.71 ,23.83 ,30,台湾花莲县海域,4.7
2022/11/19 1:27,102.26 ,23.37 ,8,云南红河州红河县,5
2022/11/13 9:47,121.10 ,22.44 ,10,台湾台东县海域,5
2022/11/10 13:01,94.48 ,28.35 ,10,西藏林芝市墨脱县,5.6
